代码,名称,周报成交量,周报交易量同比增减,周报成交金额,周报成交金额同比增减,周报年累计成交总量,周报年累计成交总量同比增减,周报年累计成交金额,周报年累计成交金额同比增减,周报持仓量,周报持仓量环比增减,本周主力合约收盘价,本周主力合约收盘价环比涨跌,昨日仓单量,今日仓单量,仓单量增减量,成交量,成交量变化,持买仓量,持买仓量变化,持卖仓量,持卖仓量变化,消极情绪,积极情绪
IO.CFE,NoneName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,10年期国债期货,263055.65,65.01628000000001,2639.9145404000005,72.22653000000001,2758030.5,9.41184,27372.229414400004,12.610389999999999,79970.8,-0.39786999999999983,100.0925,0.254635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6064491688293663,0.39355083062571095
TF,5年期国债期货,70018.15,173.05611,712.0538743000002,180.028635,656705.05,102.68738499999999,6614.280968350002,105.68504500000003,32218.75,1.305525,101.30675,0.22909000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309427537660046,0.3690572421452621
IF,沪深300指数,550876.25,119.20183999999999,6375.290424599998,123.122605,6293956.05,79.483205,72712.61535855001,92.93621,134244.6,2.842095,3872.8000000000006,0.5090300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3098042637575418,0.690195736230204
IC,中证500股指期货,609459.1,213.92937500000002,6438.7482419,219.82452500000005,6413167.45,182.25195,67057.46534615,201.05270000000002,170283.25,1.2378300000000002,5256.450000000001,1.1293600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382370575073552,0.46176293814317027
IH,上证50股指期货,206370.2,57.37935,1737.5001564999998,62.133375000000015,2422841.35,32.09552,20604.958332799997,43.176045,60343.3,2.86674,2835.0699999999997,0.30987499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38230934561314905,0.61769066226076
TS,2年期国债期货,56392.35,21936.15587142857,1138.9290216,22202.912328571427,636436.95,12431.722757142856,12809.541791450003,12478.713157142858,15425.1,1.000005,101.078,0.13457999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4731384441256523,0.5268615542546563
JD,鸡蛋,2516850.15,687.4127649999999,853.0381041499999,648.5645499999998,23625976.45,595.3955550000001,8315.718030549997,578.5429349999999,334486.65,-1.5085950000000004,3336.2,-0.7148350000000001,26.6,26.85,0.25,509246.0,6867.1,128226.1,2827.3,120317.7,1419.2,0.457047336020347,0.5429526633987523
CS,玉米淀粉,315416.05,4.618849999999999,71.97418565000001,5.713900000000001,3904949.45,-19.577949999999998,892.37891995,-19.150440000000003,91983.7,-0.8805049999999998,2284.95,0.07573500000000001,4985.7,5143.65,157.95,492041.6,26348.0,175434.0,3726.5,159079.6,2107.3,0.5061386640546686,0.4938613311466524
C,玉米,2003040.05,52.45697,392.2003299500001,60.20528999999999,24070180.3,38.884375000000006,4637.004347550001,45.516565,1007842.0,-0.7252499999999994,1947.95,0.2936599999999999,56638.5,57506.1,867.6,1000050.0,13844.3,605029.85,-4625.55,597517.6,-8929.05,0.37022088677316556,0.6297791119201692
M,豆粕,5942426.2,77.10074,1630.2656407,81.94768,68763770.6,47.51434,18913.265565250003,50.01106500000001,2348879.65,-1.875,2710.55,-0.40982,19199.0,19189.0,-10.0,2979491.4,7701.6,1271796.5,-35308.4,1366193.7,-38131.4,0.4197934920174156,0.5802065084677716
V,聚氯乙烯,780903.6,28.41463,230.49321485000002,18.617379999999997,8210937.25,-0.493135,2605.5212614,-4.1105350000000005,241617.0,-2.199025,6121.0,-0.9966399999999996,15992.2,16066.75,74.55,1627260.6,22589.8,439975.2,2410.0,438585.2,-2581.9,0.41965942351520064,0.580340573579073
EB,苯乙烯,552334.7,0.0,162.69363045,0.0,3269297.4,0.0,1058.4712004500002,0.0,94305.7,0.19422000000000014,6533.3,-1.2906300000000002,582.1,636.05,53.95,318497.1,-631.2,81464.2,1186.0,84334.8,1240.0,0.4711556851944191,0.528844312870137
EG,乙二醇,1383357.15,83.1361,555.1861789000001,46.0281588235294,16293719.8,380.5935529411765,7317.984529699999,314.0352823529412,207026.25,-0.2559599999999999,4307.0,-1.4402449999999998,3702.7,3755.0,52.3,1606386.7,-23960.9,174172.6,-1747.1,156535.6,-612.5,0.44328838676474225,0.55671161153727
Y,豆油,2436991.95,160.782785,1441.2032888,176.33929999999998,26801361.8,119.318345,16220.9524033,140.81339499999996,583167.85,-3.998855,5917.8,-1.0290849999999998,10841.55,10800.75,-40.8,2249411.7,14307.0,518628.1,-7129.8,595431.3,-11501.7,0.41946263059080086,0.5805373686172608
A,豆一,817650.05,164.05429999999996,354.9430823499999,233.38389999999998,6791563.45,68.836385,2727.0783905999992,102.00892000000002,131729.6,2.0828100000000007,4135.8,1.2895549999999998,15672.6,15371.8,-300.8,477457.9,10187.3,117015.1,846.3,121359.8,-1470.3,0.4993313102168031,0.5006686904733735
B,豆二,346738.95,61.25282,106.7750532,56.686540000000015,4314509.7,4.713969999999998,1332.2678582499998,0.6896950000000033,91965.7,-7.1132599999999995,3072.65,-0.550375,495.0,490.0,-5.0,187063.2,9150.9,36676.2,1583.5,35396.5,967.0,0.4779066971804894,0.5220933062496634
